variant,run,avg_ms,match_total_ms,score_total_ms,score_all_only_ms,score_all_call_count,batched_score_all_call_count,batch_candidate_count,batch_scan_count,score_grouping_ms,score_vector_alloc_count,score_sort_ms,device_alloc_ms,h2d_grid_ms,h2d_scan_ms,h2d_cand_ms,h2d_total_ms,kernel_ms,d2h_score_ms,sync_ms,branch_ms
cpu_boundary_openmp,1,2.265,2.217,1.734,1.163,18.0,0.0,0.0,0.0,0.28,240.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048
gpu_reuse_buffer,1,3.723,3.717,3.545,3.213,18.0,0.0,0.0,0.0,0.137,240.0,0.175,0.0,0.79,0.411,0.486,1.687,1.052,0.215,0.0,0.589
gpu_reuse_buffer_cached_grid,1,2.968,2.965,2.797,2.48,18.0,0.0,0.0,0.0,0.127,240.0,0.17,0.0,0.174,0.483,0.398,1.055,0.963,0.212,0.0,0.684
gpu_reuse_buffer_cached_grid_batched,1,1.46,1.458,1.286,1.055,4.0,4.0,3852.0,18.0,0.055,36.0,0.168,0.0,0.173,0.303,0.171,0.647,0.226,0.053,0.064,0.596
gpu_reuse_warp_cached_grid_batched,1,1.209,1.207,1.041,0.816,4.0,4.0,3852.0,18.0,0.053,36.0,0.165,0.0,0.147,0.18,0.179,0.506,0.188,0.051,0.0,0.517
gpu_shared,1,10.008,10.003,9.822,9.446,18.0,0.0,0.0,0.0,0.165,240.0,0.179,1.302,0.426,3.515,0.862,4.803,0.562,0.271,0.0,1.659
gpu_shared_batched,1,2.928,2.925,2.752,2.515,4.0,4.0,3852.0,18.0,0.057,36.0,0.171,0.307,0.117,1.006,0.155,1.277,0.258,0.07,0.0,1.774
gpu_shared_cached_grid,1,6.202,6.196,6.017,5.66,18.0,0.0,0.0,0.0,0.15,240.0,0.179,0.216,0.133,1.169,1.331,2.632,0.89,0.696,0.195,1.102
cpu_boundary_openmp,2,2.584,2.542,2.008,1.454,18.0,0.0,0.0,0.0,0.27,240.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083
gpu_reuse_buffer,2,3.347,3.345,3.181,2.873,18.0,0.0,0.0,0.0,0.12,240.0,0.168,0.0,0.669,0.391,0.436,1.495,0.925,0.201,0.0,0.459
gpu_reuse_buffer_cached_grid,2,2.809,2.806,2.641,2.322,18.0,0.0,0.0,0.0,0.13,240.0,0.17,0.0,0.169,0.471,0.4,1.04,0.831,0.206,0.0,0.493
gpu_reuse_buffer_cached_grid_batched,2,1.312,1.31,1.14,0.911,4.0,4.0,3852.0,18.0,0.054,36.0,0.168,0.0,0.159,0.201,0.18,0.54,0.229,0.064,0.0,0.57
gpu_reuse_warp_cached_grid_batched,2,1.497,1.495,1.298,1.017,4.0,4.0,3852.0,18.0,0.071,36.0,0.2,0.0,0.192,0.241,0.2,0.633,0.204,0.081,0.0,0.7
gpu_shared,2,11.675,11.669,11.456,10.985,18.0,0.0,0.0,0.0,0.241,240.0,0.19,1.587,0.667,3.87,0.925,5.462,0.577,0.326,0.0,1.821
gpu_shared_batched,2,3.052,3.048,2.859,2.615,4.0,4.0,3852.0,18.0,0.056,36.0,0.18,0.324,0.13,1.066,0.15,1.346,0.252,0.074,0.0,1.916
gpu_shared_cached_grid,2,3.031,3.027,2.847,2.514,18.0,0.0,0.0,0.0,0.138,240.0,0.173,0.193,0.132,0.6,0.459,1.191,0.46,0.217,0.0,0.539
