variant,threads,benchmark,map,iterations,scan_points,global,avg_ms,min_ms,max_ms,match_total_ms,make_scans_ms,make_bounds_ms,make_grid_stack_ms,make_low_cands_ms,coarse_cand_count,score_total_ms,score_call_count,score_all_call_count,batched_score_all_call_count,batch_candidate_count,batch_scan_count,score_grouping_ms,score_vector_alloc_ms,score_vector_alloc_count,score_all_only_ms,score_writeback_ms,score_sort_ms,cand_count_per_score_call,score_all_profile_ms,device_alloc_ms,pinned_alloc_ms,h2d_grid_ms,h2d_scan_ms,h2d_cand_ms,h2d_total_ms,kernel_ms,d2h_score_ms,sync_ms,cpu_prepost_ms,branch_ms,branch_call_count,child_cand_count,to_out_ms,ok_count,last_score,last_pose_x,last_pose_y,last_pose_yaw,top_candidates
gpu_reuse_buffer,64,matcher,M:\0501.yaml,10.0,1200.0,0.0,3.7,3.205,5.228,3.697,0.132,0.001,0.0,0.047,3840.0,3.512,4.0,18.0,0.0,0.0,0.0,0.141,0.002,240.0,3.179,0.006,0.17,963.0,3.154,0.0,0.0,0.776,0.435,0.481,1.692,1.0,0.218,0.001,0.004,0.529,4.0,12.0,0.002,10.0,1.0,-2.0,6.82,-3.026,150.0
gpu_reuse_buffer,128,matcher,M:\0501.yaml,10.0,1200.0,0.0,4.965,3.043,7.978,4.96,0.129,0.001,0.0,0.046,3840.0,4.778,4.0,18.0,0.0,0.0,0.0,0.156,0.001,240.0,4.413,0.006,0.181,963.0,4.378,0.0,0.0,0.817,0.845,0.847,2.51,0.86,0.439,0.001,0.005,0.768,4.0,12.0,0.002,10.0,1.0,-2.0,6.82,-3.026,150.0
gpu_reuse_buffer,256,matcher,M:\0501.yaml,10.0,1200.0,0.0,3.23,3.057,3.526,3.228,0.122,0.0,0.0,0.043,3840.0,3.058,4.0,18.0,0.0,0.0,0.0,0.13,0.001,240.0,2.738,0.005,0.169,963.0,2.714,0.0,0.0,0.675,0.389,0.441,1.504,0.804,0.199,0.0,0.004,0.457,4.0,12.0,0.002,10.0,1.0,-2.0,6.82,-3.026,150.0
gpu_reuse_buffer,512,matcher,M:\0501.yaml,10.0,1200.0,0.0,3.3,3.143,3.674,3.298,0.112,0.0,0.0,0.043,3840.0,3.139,4.0,18.0,0.0,0.0,0.0,0.119,0.001,240.0,2.838,0.005,0.164,963.0,2.815,0.0,0.0,0.669,0.385,0.433,1.487,0.905,0.204,0.001,0.005,0.429,4.0,12.0,0.001,10.0,1.0,-2.0,6.82,-3.026,150.0
gpu_reuse_buffer_cached_grid_batched,64,matcher,M:\0501.yaml,10.0,1200.0,0.0,1.322,1.233,1.439,1.32,0.118,0.001,0.0,0.044,3840.0,1.151,4.0,4.0,4.0,3852.0,18.0,0.054,0.002,36.0,0.919,0.004,0.171,963.0,0.912,0.0,0.0,0.152,0.191,0.21,0.552,0.224,0.051,0.0,0.001,0.595,4.0,12.0,0.001,10.0,1.0,-2.0,6.82,-3.026,150.0
gpu_reuse_buffer_cached_grid_batched,128,matcher,M:\0501.yaml,10.0,1200.0,0.0,1.273,1.156,1.54,1.271,0.125,0.0,0.0,0.044,3840.0,1.092,4.0,4.0,4.0,3852.0,18.0,0.056,0.003,36.0,0.861,0.004,0.168,963.0,0.856,0.0,0.0,0.148,0.172,0.181,0.501,0.226,0.055,0.0,0.001,0.53,4.0,12.0,0.001,10.0,1.0,-2.0,6.82,-3.026,150.0
gpu_reuse_buffer_cached_grid_batched,256,matcher,M:\0501.yaml,10.0,1200.0,0.0,1.347,1.22,1.716,1.345,0.125,0.0,0.0,0.051,3840.0,1.161,4.0,4.0,4.0,3852.0,18.0,0.055,0.002,36.0,0.93,0.004,0.169,963.0,0.924,0.0,0.0,0.153,0.192,0.197,0.542,0.269,0.05,0.001,0.001,0.524,4.0,12.0,0.001,10.0,1.0,-2.0,6.82,-3.026,150.0
gpu_reuse_buffer_cached_grid_batched,512,matcher,M:\0501.yaml,10.0,1200.0,0.0,1.402,1.329,1.738,1.4,0.126,0.0,0.0,0.04,3840.0,1.227,4.0,4.0,4.0,3852.0,18.0,0.059,0.002,36.0,0.987,0.004,0.174,963.0,0.981,0.0,0.0,0.154,0.179,0.171,0.504,0.371,0.05,0.0,0.001,0.506,4.0,12.0,0.001,10.0,1.0,-2.0,6.82,-3.026,150.0
gpu_reuse_warp_cached_grid_batched,64,matcher,M:\0501.yaml,10.0,1200.0,0.0,1.238,1.141,1.501,1.236,0.121,0.0,0.0,0.049,3840.0,1.059,4.0,4.0,4.0,3852.0,18.0,0.055,0.002,36.0,0.823,0.004,0.175,963.0,0.818,0.0,0.0,0.151,0.183,0.18,0.514,0.189,0.051,0.0,0.001,0.525,4.0,12.0,0.001,10.0,1.0,-2.0,6.82,-3.026,150.0
gpu_reuse_warp_cached_grid_batched,128,matcher,M:\0501.yaml,10.0,1200.0,0.0,1.192,1.128,1.288,1.19,0.115,0.0,0.0,0.043,3840.0,1.025,4.0,4.0,4.0,3852.0,18.0,0.053,0.002,36.0,0.799,0.004,0.166,963.0,0.794,0.0,0.0,0.142,0.179,0.172,0.493,0.193,0.049,0.0,0.001,0.514,4.0,12.0,0.001,10.0,1.0,-2.0,6.82,-3.026,150.0
