variant,threads,run,match_total_ms,score_total_ms,score_all_only_ms,score_all_call_count,batched_score_all_call_count,score_grouping_ms,score_vector_alloc_count,score_sort_ms,h2d_grid_ms,h2d_scan_ms,h2d_cand_ms,h2d_total_ms,kernel_ms,d2h_score_ms,sync_ms,branch_ms
gpu_reuse_buffer,64,1,3.844,3.644,3.262,18.0,0.0,0.153,240.0,0.203,0.785,0.448,0.513,1.746,1.01,0.23,0.0,0.727
gpu_reuse_buffer,64,2,3.591,3.42,3.089,18.0,0.0,0.137,240.0,0.175,0.723,0.435,0.481,1.639,0.972,0.211,0.001,0.524
gpu_reuse_buffer,64,3,3.448,3.273,2.948,18.0,0.0,0.13,240.0,0.175,0.712,0.433,0.432,1.577,0.906,0.209,0.002,0.599
gpu_reuse_buffer,64,4,3.301,3.133,2.818,18.0,0.0,0.124,240.0,0.175,0.713,0.415,0.425,1.553,0.796,0.207,0.0,0.491
gpu_reuse_buffer,64,5,3.391,3.225,2.904,18.0,0.0,0.127,240.0,0.173,0.741,0.428,0.458,1.626,0.806,0.209,0.0,0.523
gpu_reuse_buffer,128,1,3.241,3.069,2.749,18.0,0.0,0.13,240.0,0.169,0.696,0.407,0.437,1.54,0.753,0.203,0.001,0.448
gpu_reuse_buffer,128,2,3.687,3.484,3.097,18.0,0.0,0.166,240.0,0.195,0.778,0.49,0.53,1.799,0.726,0.263,0.002,0.505
gpu_reuse_buffer,128,3,3.185,3.016,2.703,18.0,0.0,0.127,240.0,0.167,0.663,0.398,0.432,1.493,0.75,0.208,0.003,0.464
gpu_reuse_buffer,128,4,3.267,3.098,2.781,18.0,0.0,0.124,240.0,0.171,0.69,0.402,0.453,1.545,0.772,0.208,0.0,0.448
gpu_reuse_buffer,128,5,3.239,3.073,2.754,18.0,0.0,0.129,240.0,0.172,0.69,0.414,0.414,1.517,0.764,0.204,0.001,0.466
gpu_reuse_buffer,256,1,3.826,3.617,3.221,18.0,0.0,0.171,240.0,0.198,0.82,0.513,0.542,1.875,0.794,0.259,0.0,0.531
gpu_reuse_buffer,256,2,3.185,3.021,2.727,18.0,0.0,0.111,240.0,0.165,0.679,0.407,0.42,1.506,0.773,0.199,0.0,0.436
gpu_reuse_buffer,256,3,3.613,3.408,3.033,18.0,0.0,0.154,240.0,0.195,0.749,0.483,0.54,1.772,0.736,0.234,0.0,0.513
gpu_reuse_buffer,256,4,3.914,3.691,3.25,18.0,0.0,0.194,240.0,0.219,0.806,0.51,0.587,1.903,0.725,0.289,0.001,0.533
gpu_reuse_buffer,256,5,3.652,3.442,3.075,18.0,0.0,0.147,240.0,0.201,0.725,0.484,0.519,1.727,0.812,0.244,0.001,0.5
gpu_reuse_buffer,512,1,3.344,3.177,2.858,18.0,0.0,0.129,240.0,0.17,0.676,0.416,0.427,1.518,0.884,0.207,0.0,0.457
gpu_reuse_buffer,512,2,3.994,3.77,3.362,18.0,0.0,0.166,240.0,0.217,0.797,0.491,0.601,1.888,0.919,0.247,0.0,0.552
gpu_reuse_buffer,512,3,3.819,3.639,3.301,18.0,0.0,0.144,240.0,0.168,0.79,0.455,0.447,1.692,1.107,0.234,0.003,0.518
gpu_reuse_buffer,512,4,5.585,5.413,5.079,18.0,0.0,0.143,240.0,0.169,0.731,1.019,0.998,2.747,1.105,0.484,0.008,0.958
gpu_reuse_buffer,512,5,3.47,3.292,2.986,18.0,0.0,0.119,240.0,0.168,0.713,0.428,0.456,1.597,0.922,0.208,0.0,0.484
gpu_reuse_buffer_cached_grid_batched,64,1,1.376,1.192,0.95,4.0,4.0,0.058,36.0,0.176,0.17,0.207,0.206,0.583,0.23,0.055,0.0,0.61
gpu_reuse_buffer_cached_grid_batched,64,2,1.552,1.323,1.015,4.0,4.0,0.075,36.0,0.224,0.186,0.232,0.211,0.63,0.241,0.065,0.002,0.67
gpu_reuse_buffer_cached_grid_batched,64,3,1.28,1.101,0.867,4.0,4.0,0.057,36.0,0.17,0.157,0.178,0.181,0.516,0.226,0.051,0.0,0.551
gpu_reuse_buffer_cached_grid_batched,64,4,1.275,1.096,0.862,4.0,4.0,0.055,36.0,0.173,0.148,0.182,0.185,0.516,0.228,0.051,0.0,0.536
gpu_reuse_buffer_cached_grid_batched,64,5,1.286,1.105,0.865,4.0,4.0,0.056,36.0,0.178,0.153,0.191,0.179,0.523,0.224,0.048,0.0,0.529
gpu_reuse_buffer_cached_grid_batched,128,1,1.248,1.082,0.853,4.0,4.0,0.054,36.0,0.169,0.148,0.19,0.167,0.506,0.223,0.051,0.0,0.522
gpu_reuse_buffer_cached_grid_batched,128,2,1.365,1.182,0.921,4.0,4.0,0.062,36.0,0.192,0.156,0.193,0.179,0.528,0.232,0.069,0.0,0.57
gpu_reuse_buffer_cached_grid_batched,128,3,1.271,1.106,0.878,4.0,4.0,0.054,36.0,0.168,0.152,0.184,0.184,0.521,0.229,0.057,0.0,0.523
gpu_reuse_buffer_cached_grid_batched,128,4,1.322,1.145,0.915,4.0,4.0,0.054,36.0,0.169,0.168,0.196,0.192,0.556,0.225,0.057,0.003,0.566
gpu_reuse_buffer_cached_grid_batched,128,5,1.318,1.152,0.919,4.0,4.0,0.052,36.0,0.174,0.152,0.21,0.184,0.546,0.228,0.066,0.001,0.57
gpu_reuse_buffer_cached_grid_batched,256,1,1.369,1.195,0.962,4.0,4.0,0.059,36.0,0.167,0.167,0.187,0.191,0.544,0.272,0.068,0.0,0.567
gpu_reuse_buffer_cached_grid_batched,256,2,1.31,1.14,0.909,4.0,4.0,0.054,36.0,0.171,0.154,0.173,0.19,0.517,0.271,0.05,0.003,0.518
gpu_reuse_buffer_cached_grid_batched,256,3,1.314,1.145,0.913,4.0,4.0,0.056,36.0,0.17,0.15,0.192,0.18,0.522,0.262,0.058,0.001,0.533
gpu_reuse_buffer_cached_grid_batched,256,4,1.514,1.306,1.028,4.0,4.0,0.065,36.0,0.204,0.177,0.22,0.21,0.607,0.279,0.064,0.0,0.618
gpu_reuse_buffer_cached_grid_batched,256,5,1.319,1.145,0.911,4.0,4.0,0.055,36.0,0.173,0.151,0.194,0.175,0.519,0.262,0.06,0.0,0.524
gpu_reuse_buffer_cached_grid_batched,512,1,1.54,1.348,1.088,4.0,4.0,0.062,36.0,0.191,0.164,0.199,0.186,0.549,0.377,0.069,0.0,0.597
gpu_reuse_buffer_cached_grid_batched,512,2,1.523,1.334,1.07,4.0,4.0,0.062,36.0,0.194,0.161,0.189,0.182,0.531,0.379,0.076,0.0,0.572
gpu_reuse_buffer_cached_grid_batched,512,3,1.542,1.352,1.092,4.0,4.0,0.061,36.0,0.192,0.163,0.205,0.181,0.55,0.381,0.075,0.0,0.595
gpu_reuse_buffer_cached_grid_batched,512,4,1.745,1.537,1.272,4.0,4.0,0.062,36.0,0.195,0.175,0.256,0.295,0.726,0.383,0.079,0.0,0.767
gpu_reuse_buffer_cached_grid_batched,512,5,1.444,1.276,1.039,4.0,4.0,0.056,36.0,0.174,0.151,0.183,0.191,0.525,0.368,0.066,0.0,0.554
gpu_reuse_warp_cached_grid_batched,64,1,1.259,1.095,0.858,4.0,4.0,0.053,36.0,0.178,0.16,0.212,0.171,0.543,0.192,0.051,0.0,0.553
gpu_reuse_warp_cached_grid_batched,64,2,1.321,1.137,0.888,4.0,4.0,0.059,36.0,0.182,0.152,0.19,0.185,0.528,0.198,0.068,0.0,0.578
gpu_reuse_warp_cached_grid_batched,64,3,1.261,1.086,0.84,4.0,4.0,0.06,36.0,0.179,0.154,0.183,0.179,0.517,0.196,0.056,0.0,0.54
gpu_reuse_warp_cached_grid_batched,64,4,1.213,1.046,0.813,4.0,4.0,0.054,36.0,0.171,0.144,0.176,0.178,0.497,0.189,0.056,0.001,0.509
gpu_reuse_warp_cached_grid_batched,64,5,1.275,1.098,0.858,4.0,4.0,0.057,36.0,0.176,0.151,0.196,0.177,0.524,0.195,0.06,0.0,0.554
gpu_reuse_warp_cached_grid_batched,128,1,1.302,1.117,0.875,4.0,4.0,0.061,36.0,0.174,0.159,0.187,0.195,0.541,0.193,0.062,0.0,0.573
gpu_reuse_warp_cached_grid_batched,128,2,1.364,1.169,0.912,4.0,4.0,0.062,36.0,0.187,0.165,0.196,0.182,0.542,0.193,0.082,0.0,0.599
gpu_reuse_warp_cached_grid_batched,128,3,1.218,1.049,0.826,4.0,4.0,0.052,36.0,0.165,0.147,0.177,0.188,0.512,0.189,0.047,0.0,0.511
gpu_reuse_warp_cached_grid_batched,128,4,1.26,1.094,0.873,4.0,4.0,0.052,36.0,0.163,0.154,0.201,0.196,0.551,0.193,0.054,0.0,0.568
gpu_reuse_warp_cached_grid_batched,128,5,1.524,1.294,1.006,4.0,4.0,0.074,36.0,0.205,0.19,0.228,0.219,0.637,0.207,0.07,0.0,0.673
gpu_reuse_warp_cached_grid_batched,256,1,1.285,1.103,0.853,4.0,4.0,0.06,36.0,0.183,0.154,0.188,0.188,0.53,0.19,0.059,0.0,0.55
gpu_reuse_warp_cached_grid_batched,256,2,1.261,1.087,0.846,4.0,4.0,0.057,36.0,0.178,0.147,0.182,0.178,0.508,0.189,0.061,0.0,0.552
gpu_reuse_warp_cached_grid_batched,256,3,1.359,1.191,0.963,4.0,4.0,0.053,36.0,0.167,0.149,0.171,0.328,0.648,0.186,0.056,0.0,0.615
gpu_reuse_warp_cached_grid_batched,256,4,1.25,1.077,0.84,4.0,4.0,0.056,36.0,0.175,0.147,0.183,0.182,0.512,0.192,0.061,0.0,0.543
gpu_reuse_warp_cached_grid_batched,256,5,1.25,1.077,0.842,4.0,4.0,0.06,36.0,0.168,0.154,0.184,0.186,0.524,0.187,0.051,0.001,0.531
gpu_reuse_warp_cached_grid_batched,512,1,1.285,1.111,0.872,4.0,4.0,0.057,36.0,0.176,0.148,0.192,0.194,0.534,0.192,0.059,0.001,0.574
gpu_reuse_warp_cached_grid_batched,512,2,1.277,1.1,0.859,4.0,4.0,0.057,36.0,0.177,0.154,0.192,0.177,0.522,0.197,0.059,0.0,0.555
gpu_reuse_warp_cached_grid_batched,512,3,1.386,1.185,0.916,4.0,4.0,0.063,36.0,0.199,0.161,0.209,0.193,0.563,0.2,0.068,0.0,0.599
gpu_reuse_warp_cached_grid_batched,512,4,1.309,1.127,0.877,4.0,4.0,0.06,36.0,0.183,0.157,0.187,0.187,0.531,0.198,0.063,0.001,0.568
gpu_reuse_warp_cached_grid_batched,512,5,1.7,1.473,1.174,4.0,4.0,0.072,36.0,0.218,0.2,0.273,0.212,0.684,0.223,0.069,0.106,0.677
