variant,threads,n,match_total_ms_mean,match_total_ms_stdev,match_total_ms_min,match_total_ms_max,score_total_ms_mean,score_total_ms_stdev,score_total_ms_min,score_total_ms_max,score_all_only_ms_mean,score_all_only_ms_stdev,score_all_only_ms_min,score_all_only_ms_max,score_all_call_count_mean,score_all_call_count_stdev,score_all_call_count_min,score_all_call_count_max,batched_score_all_call_count_mean,batched_score_all_call_count_stdev,batched_score_all_call_count_min,batched_score_all_call_count_max,score_grouping_ms_mean,score_grouping_ms_stdev,score_grouping_ms_min,score_grouping_ms_max,score_vector_alloc_count_mean,score_vector_alloc_count_stdev,score_vector_alloc_count_min,score_vector_alloc_count_max,score_sort_ms_mean,score_sort_ms_stdev,score_sort_ms_min,score_sort_ms_max,h2d_grid_ms_mean,h2d_grid_ms_stdev,h2d_grid_ms_min,h2d_grid_ms_max,h2d_scan_ms_mean,h2d_scan_ms_stdev,h2d_scan_ms_min,h2d_scan_ms_max,h2d_cand_ms_mean,h2d_cand_ms_stdev,h2d_cand_ms_min,h2d_cand_ms_max,h2d_total_ms_mean,h2d_total_ms_stdev,h2d_total_ms_min,h2d_total_ms_max,kernel_ms_mean,kernel_ms_stdev,kernel_ms_min,kernel_ms_max,d2h_score_ms_mean,d2h_score_ms_stdev,d2h_score_ms_min,d2h_score_ms_max,sync_ms_mean,sync_ms_stdev,sync_ms_min,sync_ms_max,branch_ms_mean,branch_ms_stdev,branch_ms_min,branch_ms_max
gpu_reuse_buffer,64,5,3.515,0.2119422091042744,3.301,3.844,3.339,0.199608366558118,3.133,3.644,3.0042,0.17429916809899007,2.818,3.262,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.1342,0.011562871615649808,0.124,0.153,240.0,0.0,240.0,240.0,0.1802,0.01277497553813706,0.173,0.203,0.7348,0.030384206423732737,0.712,0.785,0.4318,0.011945710527214371,0.415,0.448,0.4618,0.03621739913356563,0.425,0.513,1.6281999999999999,0.07462372276963944,1.553,1.746,0.898,0.09611451503285025,0.796,1.01,0.2132,0.009497368056467021,0.207,0.23,0.0006000000000000001,0.0008944271909999159,0.0,0.002,0.5728,0.0948904631667482,0.491,0.727
gpu_reuse_buffer,128,5,3.3238,0.20521500919767047,3.185,3.687,3.148,0.19018806482006173,3.016,3.484,2.8168,0.15912636488024226,2.703,3.097,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.13520000000000001,0.01736951352226078,0.124,0.166,240.0,0.0,240.0,240.0,0.1748,0.011454256850621082,0.167,0.195,0.7034,0.043621095813837614,0.663,0.778,0.4222,0.03836925852814985,0.398,0.49,0.4532,0.04512981276274035,0.414,0.53,1.5788,0.1248166655539235,1.493,1.799,0.753,0.017464249196572995,0.726,0.772,0.2172,0.025704085278414408,0.203,0.263,0.0014,0.001140175425099138,0.0,0.003,0.4662,0.023306651411131543,0.448,0.505
gpu_reuse_buffer,256,5,3.638,0.2817578747790379,3.185,3.914,3.4358,0.2602070329564518,3.021,3.691,3.0612,0.2084806945498792,2.727,3.25,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.1554,0.03072946468782039,0.111,0.194,240.0,0.0,240.0,240.0,0.1956,0.019488458122694056,0.165,0.219,0.7558,0.05816957967872897,0.679,0.82,0.4794,0.04284040149204955,0.407,0.513,0.5216000000000001,0.06197015410663427,0.42,0.587,1.7566,0.1576112305643224,1.506,1.903,0.768,0.0371146871197913,0.725,0.812,0.245,0.03305298776207681,0.199,0.289,0.0004,0.0005477225575051661,0.0,0.001,0.5026,0.03962701098998007,0.436,0.533
gpu_reuse_buffer,512,5,4.0424,0.9010090454595892,3.344,5.585,3.8582,0.9024753182220554,3.177,5.413,3.5172,0.8981601750244773,2.858,5.079,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.1402,0.017767948671695337,0.119,0.166,240.0,0.0,240.0,240.0,0.1784,0.02159398064276246,0.168,0.217,0.7414000000000001,0.051587789252884264,0.676,0.797,0.5618,0.25720167184526616,0.416,1.019,0.5858,0.24055706183772696,0.427,0.998,1.8883999999999999,0.4994690180581774,1.518,2.747,0.9874,0.10929455613158413,0.884,1.107,0.276,0.11753084701473056,0.207,0.484,0.0022,0.0034928498393145962,0.0,0.008,0.5938,0.20670316881944503,0.457,0.958
gpu_reuse_buffer_cached_grid_batched,64,5,1.3538,0.11835201730431132,1.275,1.552,1.1634,0.09764374019874492,1.096,1.323,0.9117999999999999,0.06853247405427587,0.862,1.015,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.060200000000000004,0.008348652585896718,0.055,0.075,36.0,0.0,36.0,36.0,0.1842,0.02245439823286298,0.17,0.224,0.1628,0.015319921670818037,0.148,0.186,0.198,0.022034064536530708,0.178,0.232,0.1924,0.014959946523968592,0.179,0.211,0.5536,0.05114978005817815,0.516,0.63,0.2298,0.006648308055437859,0.224,0.241,0.054,0.006633249580710801,0.048,0.065,0.0004,0.0008944271909999159,0.0,0.002,0.5792,0.05994747701113033,0.529,0.67
gpu_reuse_buffer_cached_grid_batched,128,5,1.3048,0.04599673901484759,1.248,1.365,1.1334,0.03948164130326898,1.082,1.182,0.8972,0.030334798499413205,0.853,0.921,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0552,0.003898717737923586,0.052,0.062,36.0,0.0,36.0,36.0,0.1744,0.010114346246792224,0.168,0.192,0.1552,0.007694153624668545,0.148,0.168,0.1946,0.009685040010242599,0.184,0.21,0.1812,0.009203260291874828,0.167,0.192,0.5314,0.019894722918402274,0.506,0.556,0.22740000000000002,0.0035071355833500395,0.223,0.232,0.060000000000000005,0.007348469228349537,0.051,0.069,0.0008,0.0013038404810405298,0.0,0.003,0.5502,0.02534166529650327,0.522,0.57
gpu_reuse_buffer_cached_grid_batched,256,5,1.3652,0.08654305286965557,1.31,1.514,1.1862,0.07063780857302981,1.14,1.306,0.9446,0.05160717004448121,0.909,1.028,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0578,0.00443846820423443,0.054,0.065,36.0,0.0,36.0,36.0,0.177,0.015247950681976897,0.167,0.204,0.1598,0.01177709641634983,0.15,0.177,0.1932,0.017079227148791017,0.173,0.22,0.1892,0.013442470011125189,0.175,0.21,0.5418000000000001,0.03802236184142167,0.517,0.607,0.2692,0.007259476565152621,0.262,0.279,0.060000000000000005,0.006782329983125269,0.05,0.068,0.0008,0.0013038404810405298,0.0,0.003,0.552,0.04147891030391226,0.518,0.618
gpu_reuse_buffer_cached_grid_batched,512,5,1.5588,0.11154236863183431,1.444,1.745,1.3694,0.09852309373948825,1.276,1.537,1.1122,0.09174529960711884,1.039,1.272,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0606,0.0026076809620810587,0.056,0.062,36.0,0.0,36.0,36.0,0.1892,0.008642916174532767,0.174,0.195,0.1628,0.008555699854482972,0.151,0.175,0.2064,0.02901378982484019,0.183,0.256,0.207,0.04935078520145347,0.181,0.295,0.5762,0.08445531362797723,0.525,0.726,0.3776,0.005813776741499459,0.368,0.383,0.073,0.005338539126015653,0.066,0.079,0.0,0.0,0.0,0.0,0.617,0.08570005834303733,0.554,0.767
gpu_reuse_warp_cached_grid_batched,64,5,1.2658,0.03869366873275261,1.213,1.321,1.0924,0.03248538132760641,1.046,1.137,0.8513999999999999,0.027528167392690733,0.813,0.888,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0566,0.0030495901363953807,0.053,0.06,36.0,0.0,36.0,36.0,0.1772,0.004086563348340503,0.171,0.182,0.1522,0.005761944116355179,0.144,0.16,0.1914,0.013740451229854136,0.176,0.212,0.178,0.004999999999999995,0.171,0.185,0.5218,0.01681368490248347,0.497,0.543,0.194,0.0035355339059327407,0.189,0.198,0.0582,0.006340346993658946,0.051,0.068,0.0002,0.00044721359549995795,0.0,0.001,0.5468000000000001,0.02519325306505691,0.509,0.578
gpu_reuse_warp_cached_grid_batched,128,5,1.3336000000000001,0.11932644300405508,1.218,1.524,1.1446,0.09404413857333165,1.049,1.294,0.8984,0.06744849887136112,0.826,1.006,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0602,0.009066421565314509,0.052,0.074,36.0,0.0,36.0,36.0,0.1788,0.017441330224498352,0.163,0.205,0.163,0.016477257053284084,0.147,0.19,0.1978,0.019201562436426893,0.177,0.228,0.196,0.014053469322555197,0.182,0.219,0.5566,0.04727895937941105,0.512,0.637,0.195,0.0069282032302755035,0.189,0.207,0.063,0.013674794331177345,0.047,0.082,0.0,0.0,0.0,0.0,0.5848,0.05884046226874838,0.511,0.673
